comment,response,tone,period,publication date,collection date,url,processing time,restaurant
A comida continua boa porém o atendimento em relação quando inaugurou não conseguiu manter o padrão. Os Garçons precisam ser mais profissionais e mais atenciosos.,"Que bom que gostou do padrão dos nossos pratos. Caso queira, poderia nos passar seu contato pelo nosso e-mail do sac (sac.manaus@cocobambu.com), ou por mensagem por aqui, pra que possamos ligar e entender qual foi o problema de atendimento pelo qual passou? Att, Coco Bambu Manaus",,before,,,,,Coco Bambu Manaus
O local atende o que se propõe. Pratos bem servidos e saborosos mas costumam demorar muito e os garçons não são atenciosos.,"A nossa média de tempo de esperas de pratos é entre 20 e 30 minutos. Alguns pratos que são de forno duram em torno de 40 minutos, porem tais prazos são avisados aos clientes.",,before,,,,,Coco Bambu Manaus
"Diria que tudo depende do dia e quantidade de pessoas q estiver dentro do restaurante ! A maioria dos garçons são descansados, não há um atendimento incrível não é a comida também é mediana! Posso recomendar o medalhão ao molho madeira! Mas vale a pena a visita bem bonito e música sempre perfeita c cantores maravilhosos !","Olá Adria... lamentamos que sua percepção não tenha sido tão positiva. Vamos intensificar os treinamentos a equipe de salão para melhorar o atendimento e corrigir essas falhas, que não são condizentes com o padrão que trabalhamos. Fique a vontade para nos compartilhar sua experiencia com mais detalhes através do Sac ou nos passando seu contato. Um abraço. Att, Coco Bambu Manaus",,before,,,,,Coco Bambu Manaus
"O local em si é agradável, mas a música que eles tocam ao vivo lhe dá um ar de boteco. A comida é ruim. Em geral uns poucos camaroes mergulhados em queijo e batata palha. Se formos comparar a Camaroes e Nau em Natal, de fato se moatra um lugar pra não voltar. Atendimento também pouco cortês e lento. Não recomendo","Prezado Márcio, Pelo conteúdo da vossa mensagem parece que o senhor visitou um restaurante em outra cidade que não a cidade de Manaus/AM. Mas se este não for o caso, obrigado pela visita e então lamentamos que a experiência não tenha sido como esperado. Para termos a oportunidade de melhorar sempre, pedimos que, por gentileza, nos envie um e-mail com o dia da visita e o seu contato telefônico para ""sac.manaus@cocobambu.com"". Desta forma, vamos poder avaliar o que de fato ocorreu e atuar com mais presteza com relação à qualidade da nossa música ao vivo, gastronomia e atendimento. Atenciosamente, Coco Bambu Manaus",,before,,,,,Coco Bambu Manaus
"Lagosta Com Arroz dos Mares. - Quatro caudas de lagostas grelhadas, salpicadas com alho frito. Servidas sobre uma mistura de arroz com nata, leite de coco, mix de pimentões, cebola, cebolinha e coentro. É frustrante passar 1h na fila pra uma mesa, esperar mais quase 45min para chegar o prato principal e nos trazerem “1 kg” de arroz que ao contrário da descrição não tem gosto nata e o leite de coco é um mero “oi, passei por aqui”. O tamanho dessas caudas de lagosta são menores que muitos camarões. Eram lagostas anãs? Ao virem a foto, descartem a casca, o que sobra é algo equivalente do tamanho de um camarão para tempurá. O descontentamento nos abateu e comunicamos a gerência e ao garçom. No final pediram para eu preencher um questionário perguntando a nossa opinião e nos informaram que nós não éramos os únicos a reclamar do tamanho da lagosta, e que aquele papel era importante ser preenchido para a reclamação chegar na direção do Coco Bambu. Fizemos a nossa parte lá, e agora fazemos nossa parte por aqui. Nos sentimos frustrados e lesados. E não precisa dessa formalidade toda para verem que o tamanho da lagosta não está adequada. Não pedimos um prato de R$185,00 para nos satisfazermos com o acompanhamento (arroz), nós queríamos o principal (lagosta). E se a lagosta não está no tamanho ideal, que seja informado ao cliente no momento do pedido, assim teremos a chance de escolhermos arriscar ou mudarmos o pedido, ou então que façam algo para compensar tal deficiência momentânea, afinal pagamos o valor integral do prato. Coco Bambu deve zelar pelo consumidor Amazonense, que lota aquele restaurante no almoço e jantar todos os dias, servindo produtos com o padrão de qualidade à altura do restaurante.","Olá, agradecemos seu comentário e gostaríamos de realizar algumas considerações: Com relação ao tempo de espera, trabalhamos para que isso não seja um momento de insatisfação dos nossos clientes, existem garçons a disposição na espera onde podem ser solicitados alguns drinks e petiscos, inclusive nos finais de semana, quando o movimento na espera é maior, servimos algumas cortesias como caldinho de peixe para tornar esse momento mais agradável. Lamentamos não ter atendido suas expectativas com relação ao nosso arroz. Nosso objetivo é satisfazer nossos clientes. Todos os ingredientes descritos no cardápio constam na elaboração do prato. Outros clientes já fizeram comentários divergentes ao seu. Contudo, já alertamos a nossa cozinha para verificar nosso padrão. Toda nossa compra seja de insumos básicos ou pescados avaliamos antes de comprar a idoneidade da empresa, e após esta conferência realizamos ou não a compra. Os tamanhos das lagostas podem ser variados. Na apresentação do prato pode ser que haja divergências dependendo da safra, porém o que não varia é a gramatura da proteína no prato. No prato solicitado a quantidade de lagosta é de 400g a 440g. Todas as nossas proteínas são porcionadas, etiquetadas e embaladas. Feito isso, nosso setor de nutrição ainda faz a auditoria destas porções. Isso é feito para mantermos nossa qualidade e padrão. Gostaríamos de enfatizar que em hipótese alguma fazemos algo para lesar nossos clientes. Todos os nossos esforços são voltados para o bem estar da nossa clientela, assim fidelizamos nossos clientes e garantimos o seu retorno. Trabalhamos sempre de forma transparente em todos os nossos setores. Zelamos pelos nossos clientes e por nossos funcionários. Vendemos e servimos lagosta, não lagostim. Temos uma estrada percorrida já de 30 anos no mercado. Não fazemos, nem tempos intenção de nos promover em mídias sociais fazendo críticas e difamações à outros colegas de trabalho (restaurantes). Tudo que produzimos é feito pensando nos nossos clientes. Caso queira, sinta se convidado para nos fazer uma visita e verificar nossas instalações comprovando nossa seriedade. Aguardamos seu retorno para surpreendê-lo positivamente desta vez. Atenciosamente.",,before,01/10/2017,18/10/2025,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"Fui no almoço. Primeiro o garçom foi inconveniente ao insistir no que deveríamos pedir, pedimos de entrada um camarão de 76 reais que não estava bem preparado. Depois de muita dúvida pois o cardápio é muito extenso e repetitivo, pedimos um camarão Iracema(157 reais) que no cardápio dizia servir até 4 pessoas, talvez serviria se a quarta pessoa aceitasse comer só arroz de leite, pois sobrou uma quantidade enorme, camarão mesmo que é bom achei que só come no máximo 3. De acompanhamento uma porção de macaxeira que nem comemos pois estava dura. Resultado, 300 reais a conta pra três pessoas, lugar bonito mas a comida, o atendimento e o preço não valeu a pena.","Sr. Lima, lamentamos muito que sua experiência em nosso restaurante não tenha atendido suas expectativas. Pedimos, por gentileza, que nos dê uma nova oportunidade para tentarmos reverter esta primeira má impressão que lhe causamos. Nossa missão é satisfazer nossos clientes. Se possível, entrar em contato com nossa equipe para que possamos entender melhor o ocorrido e evitar que isso se repita novamente. Atenciosamente.",,before,01/11/2017,18/10/2025,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"Excelente experiência neste maravilhoso restaurante. Ambiente muito bem requintado e na comida maravilhosa. O garçom Wellington nos prestou um excelente atendimento, sendo muito atencioso, simpático e nos deu ótimas dicas. Parabéns! Voltarei mais vezes.","Excelente experiência neste maravilhoso restaurante. Ambiente muito bem requintado e na comida maravilhosa.
O garçom Wellington nos prestou um excelente atendimento, sendo muito atencioso, simpático e nos deu ótimas dicas. Parabéns!
Voltarei mais vezes.",,before,03/10/2018,18/10/2025,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"Sou cliente do Coco bambu e venho observado que o padrão no atendimento só vem caindo cada vez mais, ao contrario de outros restaurante o coco começou com um atendimento excelente, e conforme o tempo foi passando piora cada vez mais. No final de semana tive a minha pior experiencia fomos atendido por um garçom totalmente despreparado, e após diversos erros resolvemos pedir para chamar o Gerente e veio o Metre chamado Augusto, esse nem se quer ouviu as nossas observações e foi muito arrogante.","Prezada Jéssica,

Temos total interesse e trabalhamos para manter nosso atendimento no mais alto padrão possível, compatível com o da abertura da casa e com a rede, reconhecida nacionalmente pelo seu excelente atendimento e padrão de qualidade.

Infelizmente, nos parece que teve uma mal experiência em nossa casa. Esperamos ter se tratado de algo pontual e que não vá se repetir. Mas para isso, precisamos tratar e estudar o caso, para entender o que levou a essa situação. Caso seja possível, favor nos passar seu contato pelo sac.manaus@cocobambu.com para compartilhar conosco sua experiência negativa e encontrarmos uma forma de sanar tal situação.

Atenciosamente,
Coco Bambu Manaus",,before,16/09/2019,18/10/2025,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"Comida com aparência requentada.
Comida que você percebe que não foi feita na hora.
Se você pedir um prato que tenha arroz, 90% do prato será de arroz, e arroz duro, aparentemente velho.
Aliás, só frequento esse restautante, a contragosto, quando tem algum evento (aniversário, p. Exemplo).
Não acho esse restautante nada demais.","Prezado Sr. Mendes,

Trabalhamos muito para, de fato, oferecer opções complexas de pratos de forma muito rápida aos nossos clientes, para isso sempre utilizamos produtos frescos da melhor qualidade, confirmamos também que todos os nossos pratos são preparados na hora, para realizar este desafio contamos com mais de 50 colaboradores apenas no setor de cozinha.
Caso deseje contribuir com uma crítica construtiva ou detalhar alguma experiência conosco, estaremos sempre dispostos em atender da melhor forma. Basta enviar um e-mail para sac.manaus@cocobambu.com.

Atenciosamente,
Coco Bambu Manaus",,before,29/07/2019,18/10/2025,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"Já fui ao Coco Bambu Brasília e RJ e nunca tive uma experiência tão ruim como na unidade Manaus. O prato demorou literalmente 1:10h para chegar e quando chegou veio mal servido e frio. Foi um prato de peixe, acho que só devem saber fazer camarão no restaurante... Depois disso tudo acho que o mínimo era não terem me cobrado o prato, mas fizeram questão de cobrar. Péssima experiência, se não puder comer camarão não va nesse restaurante!","Olá Carolina, tudo bem? Primeiramente agradecemos a sua avaliação, pois é sempre uma oportunidade de melhorarmos. Fomos entender com nosso chefe de cozinha o ocorrido, segundo ele, houve uma falha de comunicação, por isso seu prato saiu com um tempo maior que o esperado. Nosso maitre, Felipe, que acompanhou desde o início, inclusive falando com a senhora, nos reportou esse problema. Com certeza isso foi algo pontual, pois somos reconhecidos nacionalmente pelo padrão de qualidade dos nossos pratos, bem como prezamos pela satisfação dos nossos clientes. Deixo meu contato abaixo, caso queira nos dar um melhor feedback da sua visita.

Atenciosamente",,before,30/01/2022,18/10/2025,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
