comment,response,tone,period,publication date,collection date,url,processing time,restaurant
"Experiência muito agradável, ao chegar pedimos mesa para 2, e mesmo o ambiente estando bem cheio conseguiram um local agradável na parte superior do restaurante, logo uma música eletrônica nos chamou atenção e curiosidade, o sr. Yuri nos atendeu muito bem e fez a gentileza de nos apresentar de onde vinha o som, (em uma parte reservada há DJ, jogo de luzes, como uma balada, onde pode jantar, beber reservar para comemorações etc muito atrativo funciona dias de sexta e sábado).
a comida estava muito boa, e pedimos drinks temáticos, que estavam saborosos. Voltaremos com certeza!",Agradecemos a visita e esperamos que sua experiência tenha sido incrível. É um prazer ter você por aqui.,,after,,,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"Boa noite! Fui muito bem atendida desde da proposta inicial, a moça me ajudou com a proposta para que coubesse dentro do meu orçamento da forma que imaginava então devido a experiência ficou como eu queria até para firma de pagamento. Os meninos Matheus, Lucas e Giovanna foram espetacular me ajudando a montar a mesa exatamente como queria até melhor com todo material que trouxe me passando segurança em todo evento.",Agradecemos a preferência e sua avaliação. ❤️,,after,,,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"Lugar excelente para um happy hour, ou jantar com a familia. Lugar acolhedor, com sofisticação. Uma observação o feijão baião estava muito al dente, poderia ser um mais mácio, o serviço é ótimo. Pagamento de couver e gaçons é opcional. Bom lugar","Olá ,
Agradecemos pela sua avaliação! Seu feedback é fundamental para continuarmos aprimorando nosso serviço e proporcionando momentos especiais. Esperamos te receber novamente em breve!
Atenciosamente,",,after,,,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"mpecável. Fomos almoçar no Coco Bambu. Nem sei por onde começar. Se pelo serviço e simpatia do empregado Klisman se pela comida em si. Provei talvez o melhor tornedó / filé da minha vida e, atenção, já estou bem perto dos 70. Recomendo.","Ficamos muito felizes em saber que sua experiência em nosso restaurante foi tão especial! 😊 Agradecemos de coração por compartilhar seu feedback positivo. Cada detalhe é pensado com muito carinho para oferecer o melhor aos nossos clientes, e é ótimo ver que conseguimos proporcionar uma refeição memorável para você. Esperamos recebê-lo novamente em breve para mais momentos incríveis juntos! Muito obrigado por escolher nosso restaurante. 🙏🏼🍽️✨",,after,,,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"O famoso coco bambu,deixou a desejar ... oferece um cardápio online aonde os preços estão todos alterados no sistema..e deixa nos clientes insatisfeito na hora de efetuar o pedido porq não sabemos qual preço certo","Olá! Me chamo Ricardo e sou um dos diretores da unidade. Lamento muito pela sua experiencia em nossa loja, trabalhamos diariamente para agradar nossos clientes e quando não atingimos as expectativas, ficamos triste. Gostaria de ter a oportunidade de conversar com você e, assim, termos um feedback direcionado. Nos importamos com os direcionamentos dos nosso clientes para constantemente evoluirmos. Aguardo contato em nosso link. https://qr.cocobambu.com/Manaus_donos Att,",,after,,,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"Experiência muito agradável, ao chegar pedimos mesa para 2, e mesmo o ambiente estando bem cheio conseguiram um local agradável na parte superior do restaurante, logo uma música eletrônica nos chamou atenção e curiosidade, o sr. Yuri nos atendeu muito bem e fez a gentileza de nos apresentar de onde vinha o som, (em uma parte reservada há DJ, jogo de luzes, como uma balada, onde pode jantar, beber reservar para comemorações etc muito atrativo funciona dias de sexta e sábado).
a comida estava muito boa, e pedimos drinks temáticos, que estavam saborosos. Voltaremos com certeza!",Agradecemos a visita e esperamos que sua experiência tenha sido incrível. É um prazer ter você por aqui.,,after,03/02/2024,18/10/2025,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"Venho todo mês com esposo após o sábado da minha pós na iPog assim como vi hj amigos e professores . E a demora do shopping durante a promoção o Happy hour é absurda, principalmente após as 19h. Se atendessem em menor tempo possível, iriam proporcionar melhor experiência ao cliente. Maior venda dos produtos. E o pior pagar o couvert quase no final da experiência não tá certo. Deve ser pelo menos com uma hora de curtir o happy",❤️ É um prazer ter você por aqui. Volte sempre!,,after,10/11/2023,18/10/2025,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"Boa noite! Fui muito bem atendida desde da proposta inicial, a moça me ajudou com a proposta para que coubesse dentro do meu orçamento da forma que imaginava então devido a experiência ficou como eu queria até para firma de pagamento. Os meninos Matheus, Lucas e Giovanna foram espetacular me ajudando a montar a mesa exatamente como queria até melhor com todo material que trouxe me passando segurança em todo evento.","Agradecemos a preferência e sua avaliação. ❤️
",,after,25/10/2023,18/10/2025,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"Lugar excelente para um happy hour, ou jantar com a familia. Lugar acolhedor, com sofisticação. Uma observação o feijão baião estava muito al dente, poderia ser um mais mácio, o serviço é ótimo. Pagamento de couver e gaçons é opcional. Bom lugar","Olá ,
Agradecemos pela sua avaliação! Seu feedback é fundamental para continuarmos aprimorando nosso serviço e proporcionando momentos especiais. Esperamos te receber novamente em breve!
Atenciosamente,",,after,16/07/2025,18/10/2025,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
"Ambiente aconchegante. Comida deliciosa, ótimo atendimento, a cantora Nara da Mata impecável, o nosso atendente Rodrigo super gentil e atencioso. Grata pela experiência, voltarei outras vezes com certeza.",❤️ É um prazer ter você por aqui. Volte sempre!,,after,11/11/2023,18/10/2025,https://www.tripadvisor.com.br/Restaurant_Review-g303235-d12433911-Reviews-Coco_Bambu_Manaus-Manaus_Amazon_River_State_of_Amazonas.html,,Coco Bambu Manaus
